title,price,imageUrl,productLink
Shop on eBay,$20.00,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
Nike Air Jordan Retro 1 HIGH OG Next Chapter Spider-verse DV1748-601 Spiderman,$219.90 to $409.90,https://i.ebayimg.com/thumbs/images/g/crcAAOSwyhVkZW80/s-l300.jpg,https://www.ebay.com/itm/325659635668?hash=item4bd2d3afd4:g:crcAAOSwyhVkZW80&amdata=enc%3AAQAIAAAA4AsYvLBTqcG%2Fx1sOV6zflTJgg%2BteYLazEy%2FxQ8M8Z6RJbXbVtjhkHZwNTzDFFiHv7Z9WBc81Vha8r4USJOfdAqcs%2FnYHJNPEdPBKJKWuO4tOIvSCe4d%2F%2FUSqlzSSg0fkkfSxrZXsqgMF0LD2bKckCROBZ%2BOAAhubiCnWNTdaT%2BX9e3Ez8%2FW75Vlz4ddeJzEPouCw0oSddKg9ktvy6WUpvISwj9fNaxQyBk%2FIXtQ6UgIuI0NpAszfW5Bo6ItTVJpJoTsya2LuyNAyrh%2FA3K2N2ZG%2BY0UMeCD73kq6f4kASgBP%7Ctkp%3ABk9SR8LjlbKYYg
Nike Air Jordan 1 Low Black Medium Particle Grey White Men AJ1 Shoes 553558-040,$154.99,https://i.ebayimg.com/thumbs/images/g/HIMAAOSwdxpkJnLL/s-l300.jpg,https://www.ebay.com/itm/314493355010?epid=7048579172&hash=item493943c402:g:HIMAAOSwdxpkJnLL&amdata=enc%3AAQAIAAAA4FrCW4GKg8N7IAVYFEvfXZJzSdx8LpxMmgzeu%2Bj2TOW0xpxhbwBEYAMYrf7XIH%2B68srEz%2Bxl9YWe%2B9WFRC%2FKxwWEiwUCr0ht7IYKeXIzExh%2FAZjY3FX%2FHGpvhsEBHIkLy8GccbDUgPSdqNBa6izDNWh%2FBFaryr7mtM2KqcyBS%2FAb8RLSP2rGPoP%2Fc34%2BPEwTlppq3h0qFZ9ye8DslfxGukIvm0b3NrYWvhudbzld24yjI%2F2CDCscJL1P5qxz417wXvvrzB1xMzv0daDPw9Q76lYoWs3O7F7zoRmyqbcwNG%2Bi%7Ctkp%3ABk9SR8LjlbKYYg
Nike Air Jordan 11 “Bred” 2019 378037-051 Men Size 11.5,$26.00,https://i.ebayimg.com/thumbs/images/g/oA8AAOSw26NkhmaX/s-l300.jpg,https://www.ebay.com/itm/385685938477?epid=2332048698&hash=item59ccac612d:g:oA8AAOSw26NkhmaX&amdata=enc%3AAQAIAAAA4APfAKtHCIInyvJR%2FwOnshXtXngvmWHYF%2Frxo1rIKSvsz8OQZVDd%2BipJWEn8fE%2BvviMqneDKtCsFbL%2FBF0YMW%2F68b3Nn6%2BUhlSaM2oDcV72yQ9Br9JlhkurDKDSEFf4Ai4WqLc45tBJwlMV0%2Ff6WVJvwH%2FVIWr0HsBBTfENhpnyixMPw1JY5y0VYkYhNkGYQugOoGg9CJ%2FEn8JmbzFwN3bSRinjtpJjI5RgyTR3y1L3Rt52LX0Xa1cUAAv3OhoQ6dFuTFwTe8H0ZGfGRxdoG79flXRFGQxzbkPqvibfActSv%7Ctkp%3ABk9SR8LjlbKYYg
NEW Nike Jordan Air Ship PE SP Tech Grey DZ3497-100 Men's,$114.99 to $134.99,https://i.ebayimg.com/thumbs/images/g/6nUAAOSwITJkg86I/s-l300.jpg,https://www.ebay.com/itm/266292533748?epid=12057798196&hash=item3e004599f4:g:6nUAAOSwITJkg86I&amdata=enc%3AAQAIAAAA4JyH2lISxYBD3No6zewitvii6eL%2F22hnaskeypJZq5%2BuMlLnJQx9qI%2BoTUJD73sFp8qZtSIStEup1gslwc3U1dgsJDtoE2XQCsQEwx57Y253ybk0CdiViIVf8w9ksqAbd3rbbPNK7%2F0jXMCU8O8iVf23NKw7DayZOd4hqLmABeQ7S%2B50kHiNRnGAn4nfHsR1kMj5POLumP1fBWjMYlUUsKq95XGLTK2%2BJ3a6cuk22JmFRyC4R8ox%2F%2BchluDYFs3zEltES91Xp7klR%2Bukyb7h3rH9B2tqLcEWN8lUeZX3JJx3%7Ctkp%3ABk9SR8LjlbKYYg
🔥NIKE AIR JORDAN 1 LOW SE CONCORD SPACE JAM DV1309-100 / DV1333-100 MEN/GS NEW,$134.99 to $199.99,https://i.ebayimg.com/thumbs/images/g/WiYAAOSww75jzuKk/s-l300.jpg,https://www.ebay.com/itm/134422415874?epid=6058929047&hash=item1f4c334a02:g:WiYAAOSww75jzuKk&amdata=enc%3AAQAIAAAAwIfDyDWYBs2EndbalpY3U%2FqQTbYeBQi1if4OuwR5C9ISaqxAFV29jcBJ3maxb3pfCrfKJuWsrrZq57k07dh8tvLco1gr%2F8Y4%2BKng1QNu3lkXLd9%2BHFzYA9TokocNzzNoNpNjQqtkHsW9UkRSmYoZpce8zpEGBpgGyhUAtSNYCtQTdjXzgib%2B9qlRchmk3gCO43pnjsVCvxmEX5bZoQvIx2whWQ3GvoYvlHcWWeTFxrJslNaFLswm7lQarnvD1FTicw%3D%3D%7Ctkp%3ABk9SR8LjlbKYYg
Sz 8-13 Nike Air Jordan 1 Retro High OG Spiderman Next Chapter DV1748-601,$109.99 to $384.99,https://i.ebayimg.com/thumbs/images/g/aW0AAOSwR21kaHx1/s-l300.jpg,https://www.ebay.com/itm/185905824522?hash=item2b48d9c30a:g:aW0AAOSwR21kaHx1&amdata=enc%3AAQAIAAAA4FMoCCd6NAoDsF4SvGqJBM%2FtQ1qnSglcqCqZyWnw0vlqMue37LtRiSQ%2Fg3B1pVYewlQ5mM6H%2FPxHKGFAH5Uvn%2B%2FiEXR1y5o5xNNnpUKgN9jZsupUAe%2FTUd2LYvD%2BQ4kW6mAtz7WsSKnxbbzavjwgBb0mQZLht04bILMOCtskB3hqOs9vtLCpxtTF2fxN96OhE4xXrcmps3Y2AGNNgY4Ngndr0supTwysqVCknYMPnG0lFPXO7SSbvokh1zEYIOegPPmCgbm6%2Ff%2B%2FLrIf5BFgVNzLKxQQM06VftSPLMJSg93v%7Ctkp%3ABk9SR8LjlbKYYg
Nike Air Jordan 1 Mid Alternate Bred(2022) DQ8426-060[MENS] and DQ8423-060[GS],$79.99 to $99.99,https://i.ebayimg.com/thumbs/images/g/MYgAAOSw8~hkfMP0/s-l300.jpg,https://www.ebay.com/itm/266285270049?epid=21058292618&hash=item3dffd6c421:g:MYgAAOSw8~hkfMP0&amdata=enc%3AAQAIAAAA4OFN0OXIS3HO1gSpkYKN1Tca7kvaFxISUTFQCp%2B%2BPGfPcskMlxXewP4KS6ddtikeNYsOoDkqAV73miklJc1B0ehvNq%2FKCFpZPAyd5iaMvnObll8oSheM5ZZS1aaDcbdg3Sx70Iqks56WJk32UTqwEtoglJsOXcSsd%2FQHikFeJ%2B2IDBDYfpQQOZnCERPfajiM6xUPHrP6%2F2q5GtqFidUdxZh6tw6QSOs%2B%2FrBppaT6bK%2B2y6ymWatPysM5JpKnjq3oyrqqVoM1kUY%2FMmcK1mrNTPBH19PjkCmNRCP8%2BOTja%2Fan%7Ctkp%3ABk9SR8LjlbKYYg
Nike Air Jordan Retro 13 BLACK FLINT 2023 Grey DJ5982-060 Men & GS 4y-13 NEW,$182.30 to $299.90,https://i.ebayimg.com/thumbs/images/g/I44AAOSw7P9kQYAs/s-l300.jpg,https://www.ebay.com/itm/225543090717?epid=4057803747&hash=item34836a721d:g:I44AAOSw7P9kQYAs&amdata=enc%3AAQAIAAAA4ChDasasIPpiBV%2FfD3s8xlhECURLV%2BODgeIKBQ0DpSPm5YcBYcFQQpuTvllDSzFmyMAxHw0qOXmrf0EvHRMeWXcrTHxBMYLsRxK7AuZx2iuAkSgwM0QzwXiedS7a3BWaF2peYG6lmV%2F7NpXAukVqzM4uHXP8Yf%2B1hgEpGA2D82m8fipvEmPpRrPgAlK85HB38S2tBw7jTKpXS64KEWqafSsuIK1%2BmzVGsHLTsNPsgvpFf0hdJyNnZJhz%2F3uiM%2BAOvr8n%2FP7pUYulZebBrDyI3iLDgkr3PtlTKkrrFDpWTQJK%7Ctkp%3ABk9SR8TjlbKYYg
Nike Air Jordan 1 Mid SE White Ice Blue Men AJ1 Casual Lifestyle Shoe DV1308-104,$154.99,https://i.ebayimg.com/thumbs/images/g/xmwAAOSwPL5j9DV-/s-l300.jpg,https://www.ebay.com/itm/295537485310?epid=16059131104&hash=item44cf6825fe:g:xmwAAOSwPL5j9DV-&amdata=enc%3AAQAIAAAAwFXN1B0d7ND4mVRizrbI7nBRhHgV2rQxUuOzdOFkPrU%2FB%2FKeMBs1tDL%2FgWmoxwYUUILPQCZ9KoSTlAGE9n2%2B7qfSxaQvG54rikjRo52rg2EOIZobxJOiCE7Hel7EzoHizYz8AtMD5%2B%2F43GtvQiZraei02vN6maO%2B7omniycDqERZDsEYXt1CQnKEDpzCe1c8F3svqxqzzRKI2lz0KzDcGCrRa8Vb%2FwuoYklVh6tJIdMv3Q41ztrMrc7YCjgO3GuJNw%3D%3D%7Ctkp%3ABk9SR8TjlbKYYg
